id,title,description,category,priority
3805,Report: Customer support ticket unresolved for more than 3 days.,Customer support ticket unresolved for more than 3 days.,Customer,Medium
3806,Report: Driver has not arrived for the assigned shift at Mumbai East Hub.,Driver has not arrived for the assigned shift at Mumbai East Hub.,Driver,High
3807,Issue: Battery health indicator for EV-120 has degraded significantly this month.,Battery health indicator for EV-120 has degraded significantly this month.,Battery,Low
3808,Report: Ride pickup location did not match the app location.,Ride pickup location did not match the app location.,Ride,Medium
3809,Alert: Mobile app crashes when trying to book a ride from Bangalore South Hub.,Mobile app crashes when trying to book a ride from Bangalore South Hub.,Technical,Low
3810,Driver requested additional training on the new vehicle model.,Driver requested additional training on the new vehicle model.,Driver,Medium
3811,Report: Routine inspection revealed a coolant leak in EV-122.,Routine inspection revealed a coolant leak in EV-122.,Maintenance,Critical
3812,Report: Miscellaneous request that does not fit an existing category.,Miscellaneous request that does not fit an existing category.,Other,High
3813,Customer payment was successful but booking was not confirmed.,Customer payment was successful but booking was not confirmed.,Payment,Medium
3814,Issue: General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,High
3815,General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,Critical
3816,Report: Miscellaneous request that does not fit an existing category.,Miscellaneous request that does not fit an existing category.,Other,High
3817,Report: Miscellaneous request that does not fit an existing category.,Miscellaneous request that does not fit an existing category.,Other,High
3818,EV-123 maintenance was delayed due to parts unavailability.,EV-123 maintenance was delayed due to parts unavailability.,Maintenance,High
3819,Issue: Battery percentage dropped unusually fast during the last trip for EV-109.,Battery percentage dropped unusually fast during the last trip for EV-109.,Battery,Critical
3820,Report: Charging session for EV-107 keeps disconnecting randomly.,Charging session for EV-107 keeps disconnecting randomly.,Charging,Medium
3821,Issue: Mumbai East Hub requires additional staff during the evening peak hours.,Mumbai East Hub requires additional staff during the evening peak hours.,Hub Operations,Medium
3822,Driver reported feeling unwell and requested a shift change.,Driver reported feeling unwell and requested a shift change.,Driver,Medium
3823,Alert: EV-106 maintenance was delayed due to parts unavailability.,EV-106 maintenance was delayed due to parts unavailability.,Maintenance,Medium
3824,Issue: Battery health indicator for EV-121 has degraded significantly this month.,Battery health indicator for EV-121 has degraded significantly this month.,Battery,High
3825,Alert: Customer complained about driver behavior during the ride.,Customer complained about driver behavior during the ride.,Customer,Critical
3826,General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,High
3827,Report: EV-105 requires software update for the onboard diagnostics system.,EV-105 requires software update for the onboard diagnostics system.,Maintenance,Low
3828,Alert: Customer was charged but booking was not confirmed.,Customer was charged but booking was not confirmed.,Customer,High
3829,Alert: Customer requested a refund for a cancelled ride.,Customer requested a refund for a cancelled ride.,Customer,Low
3830,Alert: Miscellaneous request that does not fit an existing category.,Miscellaneous request that does not fit an existing category.,Other,Low
3831,Alert: Payment gateway timeout occurred during checkout.,Payment gateway timeout occurred during checkout.,Payment,High
3832,Pune Central Hub reported a power outage affecting charging operations.,Pune Central Hub reported a power outage affecting charging operations.,Hub Operations,Critical
3833,Suggestion received to add more charging stations near Delhi North Hub.,Suggestion received to add more charging stations near Delhi North Hub.,Other,Medium
3834,Issue: Customer reported the vehicle was not clean on pickup.,Customer reported the vehicle was not clean on pickup.,Customer,High
3835,Report: Maintenance team flagged worn brake pads on EV-124.,Maintenance team flagged worn brake pads on EV-124.,Maintenance,Medium
3836,Report: Security gate at Pune Central Hub is malfunctioning.,Security gate at Pune Central Hub is malfunctioning.,Hub Operations,Medium
3837,Issue: Ride pickup location did not match the app location.,Ride pickup location did not match the app location.,Ride,High
3838,Report: Ride fare shown at the end did not match the estimate.,Ride fare shown at the end did not match the estimate.,Ride,High
3839,Ride fare shown at the end did not match the estimate.,Ride fare shown at the end did not match the estimate.,Ride,Low
3840,Alert: Vehicle count mismatch found during the shift-change audit at Bangalore South Hub.,Vehicle count mismatch found during the shift-change audit at Bangalore South Hub.,Hub Operations,Critical
3841,Report: General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,Medium
3842,Report: EV-114 shows sudden battery drain even when parked.,EV-114 shows sudden battery drain even when parked.,Battery,Critical
3843,EV-122 battery percentage is not increasing despite being connected at station 5.,EV-122 battery percentage is not increasing despite being connected at station 5.,Charging,Critical
3844,Backend sync issue causing duplicate ride records at Pune Central Hub.,Backend sync issue causing duplicate ride records at Pune Central Hub.,Technical,High
3845,Issue: Suggestion received to add more charging stations near Delhi North Hub.,Suggestion received to add more charging stations near Delhi North Hub.,Other,Medium
3846,Issue: EV-128 battery temperature is unusually high during operation.,EV-128 battery temperature is unusually high during operation.,Battery,Medium
3847,Alert: Query raised about the loyalty rewards program.,Query raised about the loyalty rewards program.,Other,Medium
3848,Duplicate payment charged for a single ride.,Duplicate payment charged for a single ride.,Payment,Low
3849,Issue: EV-105 battery percentage is not increasing despite being connected at station 7.,EV-105 battery percentage is not increasing despite being connected at station 7.,Charging,Medium
3850,Alert: Driver flagged a scheduling conflict for the upcoming shift at Bangalore South Hub.,Driver flagged a scheduling conflict for the upcoming shift at Bangalore South Hub.,Driver,Medium
3851,Alert: EV-104 maintenance was delayed due to parts unavailability.,EV-104 maintenance was delayed due to parts unavailability.,Maintenance,Low
3852,Alert: Mumbai East Hub is operating near full capacity with no available parking.,Mumbai East Hub is operating near full capacity with no available parking.,Hub Operations,High
3853,"Issue: EV-129 shuts down unexpectedly, suspected battery fault.","EV-129 shuts down unexpectedly, suspected battery fault.",Battery,Critical
3854,Battery percentage dropped unusually fast during the last trip for EV-128.,Battery percentage dropped unusually fast during the last trip for EV-128.,Battery,High
3855,Issue: Customer support ticket unresolved for more than 3 days.,Customer support ticket unresolved for more than 3 days.,Customer,High
3856,Alert: Ride pickup location did not match the app location.,Ride pickup location did not match the app location.,Ride,High
3857,Alert: Driver has not arrived for the assigned shift at Delhi North Hub.,Driver has not arrived for the assigned shift at Delhi North Hub.,Driver,Low
3858,Issue: EV-126 battery temperature is unusually high during operation.,EV-126 battery temperature is unusually high during operation.,Battery,High
3859,Alert: Customer waited significantly longer than the estimated arrival time.,Customer waited significantly longer than the estimated arrival time.,Ride,Medium
3860,Issue: Customer support ticket unresolved for more than 3 days.,Customer support ticket unresolved for more than 3 days.,Customer,Medium
